"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"330","1931",19.0878314971924,17.5648651123047,17.6870193481445,17.368236541748,23.1207637786865,19.4843254089355,21.7252044677734,18.2858505249023,21.9117527008057,18.0390930175781,22.983772277832,18.9636325836182,48831,96.86,96.86,38.3181,-85.9304,64.2,1157,18,0,0,0,0,0,0,0,0,0.496491223573685,0.961403489112854,0.0929824560880661,0.131578952074051,0.00438596494495869,24277
"331","1933",17.7281513214111,16.3139953613281,16.3979396820068,15.7626419067383,21.6582851409912,17.8588447570801,20.7017917633057,17.0982398986816,20.7052383422852,17.0097179412842,21.6660823822021,17.4618682861328,48831,95.33,95.22,38.3011,-85.8075,48.6,739,15.2,0,0,1,1,1,0,0,0,0.513698637485504,0.81232875585556,0.167123287916183,0.591780841350555,0.0164383556693792,24277
"332","1937",18.343692779541,16.9172420501709,16.9390563964844,16.2882804870605,22.1772766113281,18.291898727417,20.8391151428223,17.3850135803223,21.1160335540771,17.2314281463623,22.0762405395508,17.8722343444824,48831,95.62,95.95,38.2908,-85.8454,44.3,794,17.9,0,0,1,1,1,0,0,0,0.499366283416748,0.730038046836853,0.149556398391724,0.456273764371872,0.032953105866909,24277
"333","1939",19.5387763977051,15.1300973892212,18.7059879302979,15.1784658432007,19.2472438812256,17.1633052825928,18.7467231750488,17.8149433135986,19.3518142700195,16.9907302856445,19.6924324035645,16.8388442993164,48831,95.32,95.64,38.2805,-85.8601,17.3,267,15.4,0,0,1,1,1,0,0,0,0.529801309108734,0.841059625148773,0.185430467128754,0.688741743564606,0.00662251655012369,24277
"334","1943",21.5580825805664,16.3695316314697,20.067138671875,16.1343173980713,20.6109161376953,18.2566242218018,20.1001014709473,18.686487197876,20.4510765075684,17.770959854126,20.9763927459717,17.7920951843262,48831,96.18,96.39,38.3074,-85.7989,18.3,350,19.1,0,0,1,1,0,0,0,0,0.525641024112701,0.826923072338104,0.141025647521019,0.467948704957962,0.00641025649383664,24277
"335","1949",19.956521987915,16.0253238677979,18.4921646118164,15.1406965255737,19.2799110412598,18.4262046813965,18.7065773010254,18.0144271850586,19.2637176513672,17.4832286834717,19.3548526763916,16.7303352355957,48831,96.2,95.91,38.3104,-85.8084,21.8,282,12.9,0,0,1,1,1,0,0,0,0.557251930236816,0.60606062412262,0.159090906381607,0.787878811359406,0.189393937587738,74578
"336","1953",22.0136165618896,17.1687202453613,20.8739223480225,16.613468170166,21.2027587890625,18.9237384796143,20.4936962127686,19.9185886383057,20.9371147155762,18.9635906219482,21.558744430542,18.2664604187012,48831,97,97.07,38.3718,-85.9923,20.6,353,17.1,0,0,1,0,0,0,0,0,0.554945051670074,0.939560413360596,0.137362644076347,0.170329675078392,0.0109890112653375,74578
"337","1955",21.2358150482178,16.3457164764404,20.6728534698486,16.7440662384033,20.9490795135498,18.5620403289795,20.9496746063232,20.0711727142334,21.2755641937256,19.3406581878662,21.5219573974609,18.8633136749268,48831,97.09,96.67,38.3386,-85.9375,19.6,354,18.1,0,0,0,0,0,0,0,0,0.564102590084076,0.948717951774597,0.200000002980232,0.128205135464668,0.0153846153989434,74578
"338","1957",21.0054512023926,16.2917957305908,19.8195476531982,15.9795112609863,20.0814666748047,17.6449165344238,19.8805866241455,18.5785484313965,20.1878623962402,17.6014499664307,20.7671794891357,17.4811992645264,48831,96.8,96.91,38.3555,-85.8151,31.3,625,20,0,0,1,0,0,0,0,0,0.534591197967529,0.789308190345764,0.138364776968956,0.311320751905441,0.0377358496189117,74578
"339","1961",19.8085899353027,15.2494516372681,18.6850643157959,15.0185670852661,19.3398818969727,17.0984001159668,19.2635841369629,18.1808338165283,19.5848655700684,17.1040287017822,19.7100296020508,16.8949432373047,48831,96.4,95.75,38.3068,-85.8365,21.3,395,18.5,0,0,1,1,1,0,0,0,0.543379008769989,0.675799071788788,0.15068493783474,0.721461176872253,0.0228310506790876,74578
"340","1966",22.2681541442871,17.1018905639648,20.9217872619629,17.0219173431396,21.4054203033447,18.9062004089355,21.2368831634521,20.0830688476562,21.1694240570068,19.0133075714111,22.0313358306885,19.0319404602051,48831,97.38,97.31,38.3431,-85.8761,35,690,19.7,0,0,1,0,0,0,0,0,0.441416889429092,0.93460488319397,0.122615806758404,0.0871934592723846,0.0108991824090481,74578
"341","1972",18.299072265625,13.0295171737671,16.8782634735107,13.049446105957,16.8383407592773,14.6507425308228,15.8837594985962,14.4052677154541,17.2248134613037,14.3366241455078,16.6324577331543,13.9646673202515,48831,95.5,95.55,38.2945,-85.8268,23.3,303,13,0,0,1,1,1,0,0,0,0.489795923233032,0.448979586362839,0.224489793181419,0.979591846466064,0,74578
"342","1974",20.8099040985107,16.1055545806885,19.7857513427734,15.70276927948,20.3474960327148,17.9787769317627,19.4857997894287,18.261999130249,19.8579788208008,18.0880374908447,20.6314315795898,17.7472648620605,48831,96.26,96.31,38.332,-85.8184,37.7,644,17.1,0,0,1,1,1,0,0,0,0.506666660308838,0.793333351612091,0.20666666328907,0.446666657924652,0,74578
