"","SchoolNo","z_s09_ELA","z_s09_math","Attendance_0809","FTE08","MEMBER08","PUPTCH08","county.pop","TITLEI08","STITLI08","male","white","sped","frpl","lep","study","trt","N.EXPT","prob"
"1319",8041,-0.661229963848077,1.2995601732288,0.851286131268811,-0.170106193824928,-0.351310741069899,-0.562835405508995,-0.753932763579397,0.54307375891987,-1.00099113547736,-0.109060977865163,-0.192223781713026,-1.50554168681741,-0.595755324951822,0.852496107704746,0,0,1,0.0140357984028856
"1320",8042,1.38073277598243,0.520578342745862,0.40259259257368,2.06350684175202,2.11792859950489,0.286889843559264,-0.753932763579397,0.54307375891987,0.998349997916735,0.302393686972882,-0.301963882434674,-0.953357737448545,-0.360260903814105,1.36972363659852,0,0,1,0.0126838433387385
"1321",8045,-1.38594588449428,-0.0141656609236943,-0.965922700446449,-0.32593966142332,-0.192004977161848,0.357700280981618,-0.714540630594104,-1.84015427297776,-1.00099113547736,-0.684882462388509,0.385437395771261,-0.226090926971827,-0.942417099522814,0.0491781010859792,0,0,1,0.0209986805290258
"1322",8049,-1.38732207134927,0.0742204297188892,-0.102187638458323,0.418598017102328,0.721660433487267,0.782562905515747,-0.714540630594104,0.54307375891987,-1.00099113547736,-0.311630697247714,-0.19750839399298,-0.131621124012138,-0.414699187769868,0.653005383516529,0,0,1,0.0206273549320043
"1323",8073,-2.86954924153657,0.657138544126863,-0.752793269566267,0.886098419897503,-0.00458643138767071,-1.62499196684432,-0.685282271239475,0.54307375891987,0.998349997916735,-1.01285759382324,-0.442425894584576,0.319666437280106,0.784293740167554,1.007478126551,0,0,1,2.96972881802473e-08
"1324",8077,-1.15154486806995,-0.766849925320541,-1.02200939278334,3.71707308126828,2.73172433691532,-0.775266717776059,-0.685282271239475,0.54307375891987,0.998349997916735,-0.137779198329107,-0.592805804011635,0.910548486838167,0.840726675009603,1.20821683676919,0,0,1,0.0212894627405159
"1325",8089,1.08764051789136,0.933261378435301,0.335288561769424,0.427255431968905,0.585781987800988,0.428510718403973,-0.714540630594104,0.54307375891987,0.998349997916735,0.812922068368138,-0.489089805937921,-1.1749790522089,0.477827311271333,1.80905513974891,0,0,1,0.0161807390696402
"1326",8091,0.821951154045491,0.209327703182144,-0.0685356230562031,0.332023868436555,-0.0467556041868606,-0.846077155198414,-0.714540630594104,0.54307375891987,0.998349997916735,-0.404504628939776,-1.15119806208531,0.128218478314751,1.08133852345322,2.50979181204741,0,0,1,0.191781357759165
"1327",8103,0.26852784642306,-1.16120396413897,-0.584533192555589,-0.135476534358619,0.0188408868341015,0.428510718403973,-0.714540630594104,0.54307375891987,0.998349997916735,-1.00264548697924,-1.18811624157411,-1.10599402803843,1.02494382559069,3.08901348312214,0,0,1,0.0551790800314407
"1328",8104,0.484219545686961,-0.36111497550071,-1.19026946979401,-0.490430543888289,-0.435649086668279,0.0744585312921986,-0.714540630594104,0.54307375891987,0.998349997916735,-0.224528825945746,-0.86406562481015,0.582851893204828,2.10706407922871,0.610714758608411,0,0,1,0.325304941775544
"1329",8105,0.274595579374453,-0.327223339345326,-1.57165897768486,-1.08779216968212,-1.12441224238838,-0.562835405508995,-0.714540630594104,0.54307375891987,0.998349997916735,1.08783642465534,-0.663044794243536,0.53692678554467,1.9374854984932,0.255501193678064,0,0,1,0.409803008948987
