SchoolNo,z_s09_ELA,z_s09_math,Attendance_0809,FTE08,MEMBER08,PUPTCH08,county.pop,TITLEI08,STITLI08,male,white,sped,frpl,lep,prob
94,1.7052982,1.256882294,2.118845378,-0.663578841,-0.370052596,0.92418378,0.454425102,-1.840154273,-1.000991135,0.204971668,0.446646642,-0.783931505,-1.910753468,-0.494762285,0.00012647
95,1.413172685,0.342263096,0.458679285,0.020356933,0.192203042,0.463915937,0.454425102,-1.840154273,-1.000991135,-0.827199271,0.436658574,-1.693194446,-1.780538082,-0.358029345,0.014370529
107,-1.256473429,0.368797809,-0.315317069,1.327626578,1.504132862,0.463915937,0.454425102,0.543073759,0.998349998,-0.024136209,-0.361267951,-0.890757553,-0.38217756,-0.55873824,0.031390109
118,-0.009386549,-0.22215755,0.604504685,0.21082006,0.098493769,-0.244188437,0.454425102,0.543073759,0.998349998,-1.021948589,-0.784112952,0.029799199,0.092968881,-0.55873824,0.475305744
119,-1.66879209,0.022829275,-1.022009393,0.88609842,0.955933616,0.251484625,0.454425102,0.543073759,0.998349998,0.43652897,-0.165102613,0.480796098,-0.224639992,-0.539976962,0.003793306
121,-2.440543604,-1.157436438,-1.986700501,0.782209441,0.257799533,-0.952292811,0.454425102,0.543073759,0.998349998,0.364262774,-1.233892899,0.892100657,1.354759585,-0.534596369,4.60E-07
125,-1.970317758,-0.603720673,-1.661397685,0.496514751,0.346823342,-0.244188437,0.454425102,0.543073759,0.998349998,0.306133686,-0.971133394,0.437327745,1.241580819,-0.55873824,0.000204826
126,-1.886872213,-0.615689623,-0.909836008,0.678320463,0.848167952,0.463915937,0.454425102,0.543073759,0.998349998,0.738286367,-0.934930753,-0.396684344,0.502149262,-0.500841444,0.000378598
127,-1.586102879,-0.169858584,0.2006805,1.015959643,0.745087752,-0.385809312,0.454425102,0.543073759,0.998349998,-1.152102631,-0.837954283,1.234931897,0.264738818,-0.55873824,0.006126237
128,-2.470959039,-1.084544311,-1.291225516,2.046192012,1.625954917,-0.421214531,0.454425102,0.543073759,0.998349998,-1.067593006,-1.771564808,0.10423407,1.157262085,1.102560057,4.73E-07
129,-2.174756855,-0.975361177,-0.461142469,1.440172971,1.133981234,-0.350404093,0.454425102,0.543073759,0.998349998,0.119916658,-0.907048502,0.243276534,0.923901261,1.17320764,1.16E-05
133,-2.395823218,-1.289519819,-1.313660193,0.617718559,0.243743142,-0.70445628,0.454425102,0.543073759,0.998349998,0.798252155,-0.768440389,0.203648238,0.979869697,-0.55873824,3.72E-07
134,1.007342574,-0.02778069,0.6381567,0.661005633,0.309339633,-0.633645843,0.454425102,0.543073759,0.998349998,-0.8451859,-1.078172489,0.207455365,0.327654536,-0.477240205,0.115987435
136,-0.218055146,-0.93592073,-0.012448931,1.379571067,0.351508806,-1.589586748,0.454425102,0.543073759,0.998349998,-0.10352868,-2.421056522,-0.741748444,1.992245162,2.397726461,0.136288303
137,-0.733626207,-2.6898966,-0.023666269,-0.41251381,-0.988533797,-1.979044154,0.454425102,0.543073759,0.998349998,-1.07458386,-2.518788226,0.506999753,1.982995313,2.553605645,1.77E-07
141,-0.506728821,-1.894420711,-0.135839654,-0.07487463,-0.641809487,-1.589586748,0.454425102,0.543073759,0.998349998,0.039434896,-1.559487832,0.115095908,1.417268161,2.426806413,0.000456792
149,-0.482587262,-1.849173918,-1.010792054,-0.230708098,-0.796429787,-1.731207623,0.454425102,0.543073759,0.998349998,0.693700901,-1.215698805,0.943692506,1.754301285,-0.55873824,0.000672072
153,0.74112861,-0.190139483,0.380157916,0.652348218,0.121921087,-1.023103249,0.454425102,0.543073759,0.998349998,-0.179789438,-0.904090541,0.820522623,0.762001581,-0.55873824,0.236717008
154,1.71137162,1.368073129,1.041980885,0.280079379,0.478016324,0.534726375,0.454425102,0.543073759,0.998349998,-0.079774431,-0.123919207,-1.656630416,-0.997812789,-0.55873824,6.77E-05
157,0.049112766,-1.326411741,-0.573315854,1.552719365,0.801313315,-1.058508467,0.454425102,0.543073759,0.998349998,-0.592354854,-0.973430358,0.044851392,0.923815093,0.503838211,0.028651432
161,0.478278342,-0.478973827,0.245549854,0.860126175,0.229686751,-1.129318905,0.454425102,0.543073759,0.998349998,-0.14557592,-0.717525308,-0.601396445,0.965500671,0.645515084,0.285725233
162,0.4528985,-0.336252095,0.312853885,0.098273667,0.135977478,0.10986375,0.454425102,0.543073759,0.998349998,-1.48084071,-0.391646207,-0.518256754,0.013499782,-0.55873824,0.346078297
164,0.34288743,-0.393572999,0.099724454,0.53114441,0.454589006,-0.067162344,0.454425102,0.543073759,0.998349998,0.64959052,-0.699576473,0.355897282,0.220709205,-0.55873824,0.367048583
178,0.393934295,-0.962049825,0.189463162,0.88609842,0.721660433,-0.208783218,0.454425102,0.543073759,0.998349998,-0.857949553,-1.846787712,-1.441793634,1.044758121,0.204483675,0.103283361
186,0.443134397,-0.785299105,-0.337751746,1.024617058,0.435847151,-0.98769803,0.454425102,0.543073759,0.998349998,0.605281816,-0.683261129,-0.535494227,0.805177594,0.268327394,0.164370748
189,0.171365927,-1.154219394,0.469896623,0.435912847,-0.271657859,-1.554181529,0.454425102,0.543073759,0.998349998,-2.251944318,-1.017104371,1.285306907,0.622051543,0.563646972,0.061626073
193,1.268192537,0.42859749,1.277544993,-0.983903191,-0.829228033,0.3931055,0.454425102,0.543073759,0.998349998,1.650886116,-1.070243096,-0.654315331,0.166455778,-0.55873824,0.027014851
197,0.575480069,-0.420129173,-0.169491669,-0.42982864,-0.28571425,0.3931055,0.454425102,0.543073759,0.998349998,-0.8089418,-1.792174279,-0.428670642,0.753734585,-0.55873824,0.265941628
205,-0.159477639,-1.476491468,0.032420423,0.505172166,-0.220117759,-1.554181529,0.454425102,0.543073759,0.998349998,0.408710599,-1.641370872,-0.565537161,0.950134252,1.66083585,0.012000617
209,0.483096418,-1.106691268,-0.023666269,-0.325939661,-0.271657859,0.10986375,0.454425102,0.543073759,0.998349998,-0.414562074,0.002630806,-0.114614158,-0.055822381,-0.55873824,0.051354924
213,0.246188979,-0.83251497,-0.977140039,-0.672236256,-0.99321926,-1.377155436,0.454425102,0.543073759,0.998349998,-0.981376184,-0.377189035,-0.04602027,1.760277025,-0.55873824,0.181349642
217,-0.558559032,-2.025616669,-0.741575931,0.88609842,0.135977478,-1.341750217,0.454425102,0.543073759,0.998349998,1.327743975,-1.562039839,0.409307777,1.271044027,2.717325092,0.000146292
221,0.535253615,-0.188547057,0.066072439,0.202162645,-0.135779413,-0.810671936,0.454425102,0.543073759,0.998349998,-2.048516189,0.026244793,0.498126396,0.553511219,-0.55873824,0.344332287
233,1.202139833,0.482089703,0.402592593,-0.144133949,-0.093610241,0.10986375,0.454425102,0.543073759,0.998349998,0.616796336,0.021614207,-0.450774953,-0.246558937,-0.55873824,0.033729734
239,0.678630108,-0.179514009,0.0548551,-0.317282247,-0.496560114,-0.633645843,0.454425102,0.543073759,0.998349998,0.354990477,-0.14135818,0.115095908,-0.163918592,-0.55873824,0.271798841
240,-1.760325576,-0.497831844,-1.885744455,0.738922367,1.044957425,0.747157687,0.454425102,0.543073759,0.998349998,0.044866553,-0.836515335,0.044765567,0.196442995,0.134867009,0.001237867
249,-0.064819299,-1.49128794,0.4923313,-0.802097479,-0.979162869,-0.952292811,0.454425102,0.543073759,0.998349998,0.76050288,-2.22119986,-0.130674463,1.552543324,-0.34187059,0.011473531
253,-0.240398279,-1.04123547,-0.225578362,-0.334597076,-0.857340815,-1.695802404,0.454425102,0.543073759,0.998349998,-0.796324668,-1.8803711,-0.238573575,1.700082056,1.105676829,0.092478952
257,0.082232238,-0.245621156,0.122159131,-0.196078438,-0.773002469,-1.731207623,0.454425102,0.543073759,0.998349998,1.432703713,-1.870784489,0.840117802,1.561582869,0.418672197,0.466541368
